epoch,accuracy,loss,val_accuracy,val_loss
0,0.6626050472259521,0.6394475102424622,0.48986485600471497,0.9816666841506958
1,0.8441176414489746,0.39184510707855225,0.8851351141929626,0.3063032925128937
2,0.9100840091705322,0.2530333995819092,0.7567567825317383,0.5089338421821594
3,0.9247899055480957,0.18824931979179382,0.8547297120094299,0.3392392098903656
4,0.9592437148094177,0.12570618093013763,0.8885135054588318,0.2926807999610901
5,0.9491596817970276,0.13288812339305878,0.9222972989082336,0.2572462558746338
6,0.971848726272583,0.0833221897482872,0.9375,0.21115998923778534
7,0.9710084199905396,0.07946200668811798,0.9239864945411682,0.24909663200378418
8,0.9752100706100464,0.07496221363544464,0.5185810923576355,5.778703212738037
9,0.9806722402572632,0.06714822351932526,0.9307432174682617,0.18146736919879913
10,0.9878151416778564,0.040034811943769455,0.9324324131011963,0.2449360340833664
11,0.9752100706100464,0.06888091564178467,0.9391891956329346,0.18587593734264374
12,0.9865546226501465,0.04281475022435188,0.9577702879905701,0.21804824471473694
13,0.9806722402572632,0.05489632859826088,0.8783783912658691,0.4101885259151459
14,0.9873949289321899,0.04092187061905861,0.9543918967247009,0.21747109293937683
15,0.9873949289321899,0.037525296211242676,0.9425675868988037,0.18168731033802032
16,0.9886554479598999,0.03435184061527252,0.9510135054588318,0.19183459877967834
17,0.9907562732696533,0.029489722102880478,0.9527027010917664,0.1647518277168274
18,0.9915966391563416,0.026196220889687538,0.7162162065505981,1.1916234493255615
19,0.9911764860153198,0.03702215105295181,0.9493243098258972,0.19214123487472534
