epoch,accuracy,loss,val_accuracy,val_loss
0,0.7340335845947266,0.6159381866455078,0.5743243098258972,1.2009938955307007
1,0.8516806960105896,0.37810415029525757,0.8716216087341309,0.400199830532074
2,0.8848739266395569,0.30402904748916626,0.8766891956329346,0.4376673698425293
3,0.9033613204956055,0.26823049783706665,0.8361486196517944,0.4968801438808441
4,0.916806697845459,0.2287990003824234,0.9341216087341309,0.20341476798057556
5,0.9298319220542908,0.19464924931526184,0.9375,0.18841464817523956
6,0.9352940917015076,0.18633875250816345,0.9239864945411682,0.2266572266817093
7,0.9453781247138977,0.15688833594322205,0.9375,0.21423570811748505
8,0.9256302714347839,0.2061280459165573,0.8986486196517944,0.35629701614379883
9,0.9537814855575562,0.13599024713039398,0.9391891956329346,0.28268852829933167
10,0.9672268629074097,0.09792792797088623,0.9408783912658691,0.24755601584911346
11,0.9516806602478027,0.13425113260746002,0.875,0.32968220114707947
12,0.9672268629074097,0.0998704582452774,0.9087837934494019,0.24049052596092224
13,0.9726890921592712,0.0829886868596077,0.9358108043670654,0.21888315677642822
14,0.9760504364967346,0.0712287649512291,0.8581081032752991,0.5388796329498291
15,0.9613445401191711,0.09936608374118805,0.9256756901741028,0.4094909429550171
16,0.979411780834198,0.05583156272768974,0.9408783912658691,0.2830525040626526
17,0.9840335845947266,0.04431837052106857,0.9324324131011963,0.2639806568622589
18,0.9785714149475098,0.06778866797685623,0.8564189076423645,0.7656069397926331
19,0.9722688794136047,0.07983478158712387,0.9290540814399719,0.23422764241695404
